,CountryCode,Country,Region,RegionCode,WBIncomeCode
0,AFG,Afghanistan,Eastern Mediterranean,EMR,Low income
1,AGO,Angola,Africa,AFR,
2,ALB,Albania,Europe,EUR,Upper middle income
3,AND,Andorra,Europe,EUR,High income
4,ARE,United Arab Emirates,Eastern Mediterranean,EMR,High income
5,ARG,Argentina,Americas,AMR,Upper middle income
6,ARM,Armenia,Europe,EUR,Upper middle income
7,ATG,Antigua and Barbuda,Americas,AMR,
8,AUS,Australia,Western Pacific,WPR,High income
9,AUT,Austria,Europe,EUR,High income
10,AZE,Azerbaijan,Europe,EUR,Upper middle income
11,BDI,Burundi,Africa,AFR,Low income
12,BEL,Belgium,Europe,EUR,High income
13,BEN,Benin,Africa,AFR,Lower middle income
14,BFA,Burkina Faso,Africa,AFR,Low income
15,BGD,Bangladesh,South-East Asia,SEAR,Lower middle income
16,BGR,Bulgaria,Europe,EUR,High income
17,BHR,Bahrain,Eastern Mediterranean,EMR,High income
18,BHS,Bahamas,Americas,AMR,High income
19,BIH,Bosnia and Herzegovina,Europe,EUR,Upper middle income
20,BLR,Belarus,Europe,EUR,Upper middle income
21,BLZ,Belize,Americas,AMR,Upper middle income
22,BOL,Bolivia (Plurinational State of),Americas,AMR,Lower middle income
23,BRA,Brazil,Americas,AMR,Upper middle income
24,BRB,Barbados,Americas,AMR,High income
25,BRN,Brunei Darussalam,Western Pacific,WPR,High income
26,BTN,Bhutan,South-East Asia,SEAR,Lower middle income
27,BWA,Botswana,Africa,AFR,Upper middle income
28,CAF,Central African Republic,Africa,AFR,
29,CAN,Canada,Americas,AMR,High income
30,CHE,Switzerland,Europe,EUR,High income
31,CHL,Chile,Americas,AMR,High income
32,CHN,China,Western Pacific,WPR,Upper middle income
33,CIV,Cote d'Ivoire,Africa,AFR,Lower middle income
34,CMR,Cameroon,Africa,AFR,Lower middle income
35,COD,Democratic Republic of the Congo,Africa,AFR,Low income
36,COG,Congo,Africa,AFR,Lower middle income
37,COK,Cook Islands,Western Pacific,WPR,
38,COL,Colombia,Americas,AMR,Upper middle income
39,COM,Comoros,Africa,AFR,Lower middle income
40,CPV,Cabo Verde,Africa,AFR,Lower middle income
