IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,AMR,Americas,Country,PER,Peru,Year,2021,true,Household composition by age,Adults with children and adolescents,HOUSEHOLD_COMP_BY_AGE_HH_COMP_ADULTS_WITH_KIDS,,,,,,,DATASOURCE_FPPER2021,PER_2021_ENAHO_v01_M,,10.16,,,,,,10.16,,,EN,2023-06-19T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,EUR,Europe,Country,BLR,Belarus,Year,2021,true,Household composition by age,Adults only (20-59 years old),HOUSEHOLD_COMP_BY_AGE_HH_COMP_ADULTS,,,,,,,DATASOURCE_FPBLR2021,BLR_2021_SHLSS_v01_M,,11.26,,,,,,11.26,,,EN,2023-06-19T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,AMR,Americas,Country,PER,Peru,Year,2021,true,Household composition by age,Adults only (20-59 years old),HOUSEHOLD_COMP_BY_AGE_HH_COMP_ADULTS,,,,,,,DATASOURCE_FPPER2021,PER_2021_ENAHO_v01_M,,12.38,,,,,,12.38,,,EN,2023-06-19T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,AMR,Americas,Country,PER,Peru,Year,2021,true,Household composition by age,Only older adults (>=60 years old),HOUSEHOLD_COMP_BY_AGE_HH_COMP_ONLY_OLDER_ADULTS,,,,,,,DATASOURCE_FPPER2021,PER_2021_ENAHO_v01_M,,13.84,,,,,,13.84,,,EN,2023-06-19T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,EUR,Europe,Country,BLR,Belarus,Year,2021,true,Household composition by age,Multigenerational households,HOUSEHOLD_COMP_BY_AGE_HH_COMP_MULTIGEN,,,,,,,DATASOURCE_FPBLR2021,BLR_2021_SHLSS_v01_M,,13.94,,,,,,13.94,,,EN,2023-06-19T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,AMR,Americas,Country,PER,Peru,Year,2021,true,Household composition by age,Multigenerational households,HOUSEHOLD_COMP_BY_AGE_HH_COMP_MULTIGEN,,,,,,,DATASOURCE_FPPER2021,PER_2021_ENAHO_v01_M,,17.28,,,,,,17.28,,,EN,2023-06-19T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,AMR,Americas,Country,PER,Peru,Year,2021,true,Household composition by age,Multigenerational and/or Adults with older persons,HOUSEHOLD_COMP_BY_AGE_HH_COMP_MULTIGEN_WITH_OLDER,,,,,,,DATASOURCE_FPPER2021,PER_2021_ENAHO_v01_M,,17.6,,,,,,17.6,,,EN,2023-06-19T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,AMR,Americas,Country,PER,Peru,Year,2021,true,Household composition by age,Adults with older persons,HOUSEHOLD_COMP_BY_AGE_HH_COMP_ADULTS_WITH_OLDER,,,,,,,DATASOURCE_FPPER2021,PER_2021_ENAHO_v01_M,,18.15,,,,,,18.15,,,EN,2023-06-19T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,EUR,Europe,Country,BLR,Belarus,Year,2021,true,Household composition by age,Multigenerational and/or Adults with older persons,HOUSEHOLD_COMP_BY_AGE_HH_COMP_MULTIGEN_WITH_OLDER,,,,,,,DATASOURCE_FPBLR2021,BLR_2021_SHLSS_v01_M,,21.63,,,,,,21.63,,,EN,2023-06-19T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,EUR,Europe,Country,BLR,Belarus,Year,2021,true,Household composition by age,Adults with older persons,HOUSEHOLD_COMP_BY_AGE_HH_COMP_ADULTS_WITH_OLDER,,,,,,,DATASOURCE_FPBLR2021,BLR_2021_SHLSS_v01_M,,25.94,,,,,,25.94,,,EN,2023-06-19T22:00:00.000Z
