Indicator,Year,Country ISO 3 code,Country,WHO region,World bank income group,Sex,Comments,Value Numeric,Value String,Value low,Value high
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,AFG,Afghanistan,Eastern Mediterranean,Low income,Female,,10.5,10.5 [4.9-16.0],4.9,16
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,AFG,Afghanistan,Eastern Mediterranean,Low income,Male,,34.4,34.4 [16.1-52.8],16.1,52.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,AFG,Afghanistan,Eastern Mediterranean,Low income,Both sexes,,22.5,22.5 [10.5-34.4],10.5,34.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,AFG,Afghanistan,Eastern Mediterranean,Low income,Female,,7.1,7.1 [3.9-10.3],3.9,10.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,AFG,Afghanistan,Eastern Mediterranean,Low income,Male,,28.7,28.7 [15.2-42.2],15.2,42.2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,AFG,Afghanistan,Eastern Mediterranean,Low income,Both sexes,,17.9,17.9 [9.6-26.3],9.6,26.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,AFG,Afghanistan,Eastern Mediterranean,Low income,Male,,26.6,26.6 [15.4-37.8],15.4,37.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,AFG,Afghanistan,Eastern Mediterranean,Low income,Both sexes,,16.3,16.3 [9.4-23.3],9.4,23.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,AFG,Afghanistan,Eastern Mediterranean,Low income,Female,,6.1,6.1 [3.4-8.7],3.4,8.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,AFG,Afghanistan,Eastern Mediterranean,Low income,Female,,4.8,4.8 [3.0-6.7],3,6.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,AFG,Afghanistan,Eastern Mediterranean,Low income,Male,,24.1,24.1 [16.2-32.0],16.2,32
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,AFG,Afghanistan,Eastern Mediterranean,Low income,Both sexes,,14.5,14.5 [9.6-19.4],9.6,19.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,AFG,Afghanistan,Eastern Mediterranean,Low income,Female,,3.3,3.3 [2.2-4.5],2.2,4.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,AFG,Afghanistan,Eastern Mediterranean,Low income,Male,,20.3,20.3 [13.8-26.8],13.8,26.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,AFG,Afghanistan,Eastern Mediterranean,Low income,Both sexes,,11.8,11.8 [8.0-15.6],8,15.6
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2020,AFG,Afghanistan,Eastern Mediterranean,Low income,Female,The most recent survey was conducted in 2019. This is a projection.,2.3,2.3 [1.5-3.1],1.5,3.1
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2020,AFG,Afghanistan,Eastern Mediterranean,Low income,Both sexes,The most recent survey was conducted in 2019. This is a projection.,9.7,9.7 [6.8-12.6],6.8,12.6
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2020,AFG,Afghanistan,Eastern Mediterranean,Low income,Male,The most recent survey was conducted in 2019. This is a projection.,17.1,17.1 [12.1-22.2],12.1,22.2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2021,AFG,Afghanistan,Eastern Mediterranean,Low income,Male,The most recent survey was conducted in 2019. This is a projection.,16.6,16.6 [11.4-21.7],11.4,21.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2021,AFG,Afghanistan,Eastern Mediterranean,Low income,Female,The most recent survey was conducted in 2019. This is a projection.,2.1,2.1 [1.4-2.9],1.4,2.9
